Itertions,Alpha,Beta,Customers, q0,Best Solution
10,1.0,0.1,10,0.1,491
10,1.0,0.1,10,0.2,492
10,1.0,0.1,10,0.5,493
10,1.0,0.1,10,0.8,490
10,1.0,0.1,10,0.9,490
20,1.0,0.1,10,0.1,490
20,1.0,0.1,10,0.2,491
20,1.0,0.1,10,0.5,492
20,1.0,0.1,10,0.8,490
20,1.0,0.1,10,0.9,490
50,1.0,0.1,10,0.1,489
50,1.0,0.1,10,0.2,488
50,1.0,0.1,10,0.5,491
50,1.0,0.1,10,0.8,490
50,1.0,0.1,10,0.9,490
100,1.0,0.1,10,0.1,488
100,1.0,0.1,10,0.2,490
100,1.0,0.1,10,0.5,490
100,1.0,0.1,10,0.8,490
100,1.0,0.1,10,0.9,490
