Itertions,Alpha,Beta,Customers, q0,Best Solution
10,0.1,1,50,0.1,2473
10,0.1,1,50,0.2,2369
10,0.1,1,50,0.5,2370
10,0.1,1,50,0.8,2343
10,0.1,1,50,0.9,2365
20,0.1,1,50,0.1,2460
20,0.1,1,50,0.2,2402
20,0.1,1,50,0.5,2371
20,0.1,1,50,0.8,2378
20,0.1,1,50,0.9,2376
50,0.1,1,50,0.1,2404
50,0.1,1,50,0.2,2388
50,0.1,1,50,0.5,2358
50,0.1,1,50,0.8,2335
50,0.1,1,50,0.9,2339
100,0.1,1,50,0.1,2383
100,0.1,1,50,0.2,2350
100,0.1,1,50,0.5,2371
100,0.1,1,50,0.8,2355
100,0.1,1,50,0.9,2334
10,0.1,0.5,50,0.1,2653
10,0.1,0.5,50,0.2,2462
10,0.1,0.5,50,0.5,2455
10,0.1,0.5,50,0.8,2404
10,0.1,0.5,50,0.9,2363
20,0.1,0.5,50,0.1,2581
20,0.1,0.5,50,0.2,2542
20,0.1,0.5,50,0.5,2476
20,0.1,0.5,50,0.8,2426
20,0.1,0.5,50,0.9,2368
50,0.1,0.5,50,0.1,2501
50,0.1,0.5,50,0.2,2531
50,0.1,0.5,50,0.5,2439
50,0.1,0.5,50,0.8,2397
50,0.1,0.5,50,0.9,2382
100,0.1,0.5,50,0.1,2545
100,0.1,0.5,50,0.2,2506
100,0.1,0.5,50,0.5,2393
100,0.1,0.5,50,0.8,2335
100,0.1,0.5,50,0.9,2368
10,0.1,0.1,50,0.1,2716
10,0.1,0.1,50,0.2,2614
10,0.1,0.1,50,0.5,2571
10,0.1,0.1,50,0.8,2439
10,0.1,0.1,50,0.9,2400
20,0.1,0.1,50,0.1,2700
20,0.1,0.1,50,0.2,2650
20,0.1,0.1,50,0.5,2528
20,0.1,0.1,50,0.8,2426
20,0.1,0.1,50,0.9,2363
50,0.1,0.1,50,0.1,2590
50,0.1,0.1,50,0.2,2671
50,0.1,0.1,50,0.5,2572
50,0.1,0.1,50,0.8,2451
50,0.1,0.1,50,0.9,2379
100,0.1,0.1,50,0.1,2673
100,0.1,0.1,50,0.2,2617
100,0.1,0.1,50,0.5,2547
100,0.1,0.1,50,0.8,2409
100,0.1,0.1,50,0.9,2349
10,0.5,1,50,0.1,2478
10,0.5,1,50,0.2,2468
10,0.5,1,50,0.5,2373
10,0.5,1,50,0.8,2376
10,0.5,1,50,0.9,2314
20,0.5,1,50,0.1,2416
20,0.5,1,50,0.2,2420
20,0.5,1,50,0.5,2387
20,0.5,1,50,0.8,2370
20,0.5,1,50,0.9,2350
50,0.5,1,50,0.1,2398
50,0.5,1,50,0.2,2376
50,0.5,1,50,0.5,2354
50,0.5,1,50,0.8,2366
50,0.5,1,50,0.9,2350
100,0.5,1,50,0.1,2360
100,0.5,1,50,0.2,2399
100,0.5,1,50,0.5,2318
100,0.5,1,50,0.8,2352
100,0.5,1,50,0.9,2339
10,0.5,0.5,50,0.1,2625
10,0.5,0.5,50,0.2,2533
10,0.5,0.5,50,0.5,2515
10,0.5,0.5,50,0.8,2407
10,0.5,0.5,50,0.9,2400
20,0.5,0.5,50,0.1,2582
