Itertions,Alpha,Beta,Customers, q0,Best Solution
20,0.5,0.1,25,0.1,1545
20,0.5,0.1,25,0.2,1489
20,0.5,0.1,25,0.5,1465
20,0.5,0.1,25,0.8,1450
20,0.5,0.1,25,0.9,1466
50,0.5,0.1,25,0.1,1498
50,0.5,0.1,25,0.2,1507
50,0.5,0.1,25,0.5,1455
50,0.5,0.1,25,0.8,1444
50,0.5,0.1,25,0.9,1459
100,0.5,0.1,25,0.1,1515
100,0.5,0.1,25,0.2,1483
100,0.5,0.1,25,0.5,1464
100,0.5,0.1,25,0.8,1437
100,0.5,0.1,25,0.9,1456
10,1.0,1,25,0.1,1463
10,1.0,1,25,0.2,1484
10,1.0,1,25,0.5,1449
10,1.0,1,25,0.8,1456
10,1.0,1,25,0.9,1458
20,1.0,1,25,0.1,1444
20,1.0,1,25,0.2,1451
20,1.0,1,25,0.5,1430
20,1.0,1,25,0.8,1443
20,1.0,1,25,0.9,1453
50,1.0,1,25,0.1,1467
50,1.0,1,25,0.2,1452
50,1.0,1,25,0.5,1436
50,1.0,1,25,0.8,1444
50,1.0,1,25,0.9,1449
100,1.0,1,25,0.1,1456
100,1.0,1,25,0.2,1448
100,1.0,1,25,0.5,1434
100,1.0,1,25,0.8,1444
100,1.0,1,25,0.9,1456
10,1.0,0.5,25,0.1,1501
10,1.0,0.5,25,0.2,1493
10,1.0,0.5,25,0.5,1451
10,1.0,0.5,25,0.8,1450
10,1.0,0.5,25,0.9,1461
20,1.0,0.5,25,0.1,1510
20,1.0,0.5,25,0.2,1505
20,1.0,0.5,25,0.5,1456
20,1.0,0.5,25,0.8,1441
20,1.0,0.5,25,0.9,1452
50,1.0,0.5,25,0.1,1469
50,1.0,0.5,25,0.2,1452
50,1.0,0.5,25,0.5,1446
50,1.0,0.5,25,0.8,1434
50,1.0,0.5,25,0.9,1453
100,1.0,0.5,25,0.1,1478
100,1.0,0.5,25,0.2,1463
100,1.0,0.5,25,0.5,1433
100,1.0,0.5,25,0.8,1441
100,1.0,0.5,25,0.9,1450
10,1.0,0.1,25,0.1,1495
10,1.0,0.1,25,0.2,1545
10,1.0,0.1,25,0.5,1475
10,1.0,0.1,25,0.8,1453
10,1.0,0.1,25,0.9,1463
20,1.0,0.1,25,0.1,1516
20,1.0,0.1,25,0.2,1493
20,1.0,0.1,25,0.5,1475
20,1.0,0.1,25,0.8,1446
20,1.0,0.1,25,0.9,1462
50,1.0,0.1,25,0.1,1524
50,1.0,0.1,25,0.2,1510
50,1.0,0.1,25,0.5,1454
50,1.0,0.1,25,0.8,1447
50,1.0,0.1,25,0.9,1447
100,1.0,0.1,25,0.1,1504
100,1.0,0.1,25,0.2,1471
100,1.0,0.1,25,0.5,1449
100,1.0,0.1,25,0.8,1443
100,1.0,0.1,25,0.9,1449
